date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:59	31986/31986	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-7cf2%22	https://demo.bootstrapdash.com/majestic-free/template/index.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/index.html	(from )
21:34:00	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2264cb9626-1a%22	https://demo.bootstrapdash.com/robots.txt		(from )
21:34:00	176523/176523	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9afc6-2b18b%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/mdi/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/mdi/css/materialdesignicons.min.css	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:00	2714/2714	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9afc6-a9a%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/base/vendor.bundle.base.css	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/base/vendor.bundle.base.css	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:00	8137/8137	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9afc6-1fc9%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net-bs4/dataTables.bootstrap4.css	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net-bs4/dataTables.bootstrap4.css	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:01	531158/531158	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9afc6-81ad6%22	https://demo.bootstrapdash.com/majestic-free/template/css/style.css	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/css/style.css	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:01	2061/2061	---M--	200	added ('OK')	image/png	etag:%2264a9a147-80d%22	https://demo.bootstrapdash.com/majestic-free/template/images/favicon.png	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/favicon.png	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:01	11235/11235	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264a9a147-2be3%22	https://demo.bootstrapdash.com/majestic-free/template/images/logo.svg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/logo.svg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:01	2233/2233	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264a9a147-8b9%22	https://demo.bootstrapdash.com/majestic-free/template/images/logo-mini.svg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/logo-mini.svg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:02	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-2dd0%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face4.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face4.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:02	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-3430%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face2.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face2.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:02	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-3cbe%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face3.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face3.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:02	9463/9463	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-24f7%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face5.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face5.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:03	38695/38695	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-9727%22	https://demo.bootstrapdash.com/majestic-free/template/pages/ui-features/buttons.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/ui-features/buttons.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:03	32429/32429	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-7ead%22	https://demo.bootstrapdash.com/majestic-free/template/pages/ui-features/typography.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/ui-features/typography.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:03	42931/42931	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-a7b3%22	https://demo.bootstrapdash.com/majestic-free/template/pages/forms/basic_elements.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/forms/basic_elements.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
